N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
34;53;72.1;7.8;7.8;46.399;64.35;19.361;6;26.85;18.0;45.0;0.400;85.3;AA;1.00;6.340;0.41;8.79;2;JUMBO;58.41;43.72;74.85;Padrão;58.84;62.01;casca_suja;0;Processamento
35;53;58.9;8.0;7.8;34.564;58.68;17.684;6;30.02;17.8;44.7;0.398;89.9;AA;3.31;6.652;0.40;11.29;2;EXTRA;57.61;45.81;79.52;Redondo;63.26;64.46;;0;Processamento
36;53;61.8;9.0;7.9;39.759;64.33;15.620;6;25.28;17.6;45.7;0.385;94.4;AA;4.45;6.421;0.38;10.39;2;EXTRA;58.58;45.09;76.97;Redondo;62.47;64.14;;0;Processamento
37;53;71.4;9.6;7.8;45.974;64.39;18.503;7;25.91;17.8;42.7;0.417;95.2;AA;1.83;6.923;0.40;9.70;1;JUMBO;60.37;44.33;73.43;Padrão;62.39;64.30;;0;Processamento
38;53;60.0;8.5;7.8;36.205;60.34;16.699;7;27.83;17.3;42.0;0.412;92.3;AA;5.47;7.096;0.43;11.83;1;EXTRA;57.35;44.58;77.73;Redondo;59.89;62.49;;0;Processamento
39;53;66.5;8.5;8.0;43.528;65.46;16.909;6;25.43;18.1;46.7;0.388;90.7;AA;3.54;6.063;0.40;9.12;1;EXTRA;55.55;44.11;79.41;Redondo;56.88;60.47;;0;Processamento
40;53;63.4;9.0;7.8;38.925;61.40;18.660;6;29.43;17.0;42.7;0.398;94.0;AA;5.28;5.815;0.35;9.17;2;EXTRA;57.59;45.63;79.23;Redondo;62.78;64.18;;0;Processamento
41;53;56.9;8.1;7.8;29.776;52.33;20.049;6;35.24;17.3;39.3;0.440;90.9;AA;3.55;7.075;0.38;12.43;1;GRANDE;58.82;46.26;78.65;Redondo;65.76;66.03;casca_suja;0;Processamento
42;53;68.2;8.8;7.9;43.398;63.63;18.280;6;26.80;19.4;44.0;0.441;91.9;AA;3.62;6.522;0.38;9.56;2;JUMBO;58.94;45.56;77.30;Redondo;64.07;65.09;;0;Processamento
43;53;69.8;8.3;7.9;44.930;64.37;17.914;7;25.66;18.4;42.7;0.431;88.8;AA;4.81;6.956;0.41;9.97;1;JUMBO;59.50;45.49;76.45;Redondo;64.50;65.40;;0;Processamento
44;53;65.5;8.5;7.9;39.155;59.78;19.550;6;29.85;17.8;42.3;0.421;90.9;AA;5.25;6.795;0.36;10.37;1;EXTRA;58.46;46.04;78.75;Redondo;64.79;65.44;;0;Processamento
45;53;57.2;7.9;7.8;;;17.516;6;30.62;17.1;41.3;0.414;89.8;AA;5.13;;0.39;;2;GRANDE;59.91;46.53;77.67;Redondo;67.70;67.25;;0;Processamento
46;53;63.5;4.6;7.7;;;19.777;7;31.14;15.5;39.7;0.390;63.4;A ;4.69;;0.38;;2;EXTRA;58.17;45.77;78.68;Redondo;63.77;64.83;;0;Processamento
47;53;71.3;9.0;7.4;;;18.500;7;25.95;17.6;45.0;0.391;92.2;AA;4.58;;0.35;;2;JUMBO;61.70;46.11;74.73;Padrão;68.57;67.92;;0;Processamento
48;53;67.1;7.8;7.8;;;15.835;6;23.60;18.5;45.0;0.411;86.6;AA;3.11;;0.41;;1;EXTRA;58.91;44.83;76.10;Redondo;62.16;64.00;;0;Processamento
49;53;68.8;7.4;7.9;44.533;64.73;17.570;6;25.54;18.6;44.7;0.416;83.7;AA;3.26;6.697;0.40;9.73;2;JUMBO;59.46;44.60;75.01;Padrão;62.14;64.06;;0;Processamento
50;53;83.8;8.5;8.0;58.814;70.18;17.980;6;21.46;19.1;45.3;0.422;86.6;AA;5.47;7.006;0.42;8.36;2;JUMBO;58.59;45.19;77.13;Redondo;62.74;64.29;casca_suja;0;Processamento
51;53;64.6;7.3;7.9;39.846;61.68;17.180;7;26.59;16.9;45.3;0.373;84.2;AA;4.97;7.574;0.41;11.72;2;EXTRA;64.22;46.45;72.33;Padrão;72.34;70.21;casca_suja;0;Processamento
52;53;73.9;8.3;7.9;50.486;68.32;16.328;7;22.09;17.9;45.7;0.392;87.8;AA;4.73;7.086;0.42;9.59;1;JUMBO;56.66;45.44;80.20;Redondo;61.29;63.20;;0;Processamento
